DateTime,AddedIPs,RemovedIPs
1533146180,22,1089
1533168321,52,29
1533190350,25,37
1533212203,24,30
1533234297,19,23
1533256352,27,16
1533278424,12,18
1533300521,28,16
1533322381,34,18
1533344426,25,10
1533366276,18,21
1533388664,32,14
1533410661,24,15
1533432515,42,12
1533454976,28,14
1533476916,21,21
1533498978,20,21
1533521112,10,18
1533543145,34,14
1533565257,29,163
1533587333,32,27
1533609230,31,11
1533631471,21,10
1533653532,13,23
1533675380,20,23
1533697297,19,23
1533719328,23,23
1533741382,19,24
1533763466,35,25
1533785545,30,39
1533807640,24,19
1533829489,23,19
1533851532,23,16
1533873412,14,18
1533895458,24,20
1533917510,11907,20
1533939380,161,19
1533961232,12,15
1533983082,13,16
1534005162,2767,18
1534027228,13,30
1534049074,17,33
1534071165,10,22
1534093286,13,19
1534115544,18,21
1534137678,9,39
1534159717,10,16
1534181810,8,24
1534203797,11,20
1534225854,15,22
1534247790,18,15
1534269872,9,15
1534291962,8,20
1534313806,7,14
1534335871,13,14
1534357952,813,18
1534380775,14,13
1534403211,17,14
1534425165,21,26
1534447222,10,10
1534469253,9,16
1534491185,85,20
1534513215,14,7571
1534535093,26,3872
1534557158,22,88
1534579303,12,14
1534601324,19,14
1534623276,19,3105
1534645228,10,11
1534667326,15,10
1534689382,13,12
1534711550,19,21
1534733560,16,18
1534755694,10,10
1534777598,8,6496
1534799553,24,151
1534821637,38,38
1534843478,3704,12
1534865554,4819,12
1534887403,18,13
1534909463,14,13
1534931311,21,13
1534953404,14,12
1534975501,13,11
1534997544,16,14
1535019624,18,14
1535041512,6,1060
1535063773,18,19
1535085629,16,77
1535107706,13,21
1535129777,1064,15
1535151705,22,26
1535173708,11,14
1535195831,12,13
1535217871,9,25
1535239948,23,22
1535262018,8,15
1535283867,7,14
1535306810,15,22
1535328734,7,9
1535350618,16,11
1535372671,8,10
1535395003,7,15
1535417057,17,13
1535439039,11,17
1535461318,12,4622
1535483571,27,3942
1535505687,14,16
1535527948,17,33
1535549830,4578,17
1535571872,37,17
1535594248,28,28
1535616535,26,21
1535638879,34,21
1535661175,32,19
1535683225,27,16
1535705098,17,24
1535727150,43,35
1535749492,36,24
1535771561,28,15
1535793637,13,17
1535815735,16,872
1535838044,26,310
1535860144,39,14
1535882205,36,13
1535904299,101,13
1535926337,39,24
1535948460,45,18
1535970529,26,15
1535992833,43,23
1536014693,30,18
1536037100,34,18
1536059092,13,26
1536081157,30,17
1536103480,27,17
1536125563,22,11
1536147413,109,49
1536169459,21,127
1536191316,30,16
1536213168,29,21
1536235305,27,19
1536257304,18,24
1536279419,19,26
1536301490,17,16
1536323582,12,28
1536345637,21,22
1536367697,23,25
1536389551,18,16
1536411412,16,20
1536433285,28,21
1536455308,20,14
1536477168,11,22
1536499247,15,84
1536521300,6,24
1536543410,10,19
1536565390,7,24
1536587396,10,27
1536609379,13,38
1536631299,8,36
1536653308,3,36
1536675397,7,28
1536697456,1178,28
1536719338,17,28
1536741394,20,4494
1536763500,12,28
1536785562,14,27
1536807701,17,41
1536829964,10,32
1536852055,10,24
1536874362,42,25
1536896434,6,26
1536918295,14,22
1536940382,45,37
1536962508,29,24
1536984757,17,22
1537006618,20,39
1537028772,20,40
1537050786,19,34
1537072861,14,27
1537095158,16,26
1537117274,20,35
1537139566,15,19
1537161651,72,17
1537183706,19,21
1537205811,17,11
1537228139,26,11
1537250204,29,10
1537272110,16,10
1537294367,14,22
1537316213,19,19
1537338286,18,19
1537360363,16,17
1537382414,11,1382
1537404289,17,15
1537426476,50,17
1537448698,31,26
1537470766,23,15
1537492848,33,27
1537514921,28,13
1537536775,26,36
1537558830,23,32
1537580933,9,19
1537602981,14,28
1537625126,21,38
1537647141,23,32
1537669286,13,36
1537691305,12,23
1537713411,16,17
1537735453,34,14
1537757323,37,21
1537779374,15,16
1537801499,9,15
1537823568,16,19
1537845653,18,19
1537867724,19,20
1537889564,9,11
1537911634,20,21
1537933719,14,83
1537955783,13,15
1537977912,14,19
1537999960,35,11
1538022029,28,22
1538043896,32,23
1538065963,23,11
1538088035,13,19
1538109888,3632,16
1538131947,3448,11
1538153796,12,10
1538175876,1654,12
1538197978,2025,5
1538220268,8,6
1538242366,9,9
1538264448,18,10
1538286514,11,8
1538308369,12,9
1538341473,17,66
1538363562,7,15
1538385421,4,10
1538407479,7,31
1538429565,14,9
1538451655,16,11
1538473725,6,7
1538495569,978,8
1538517889,8,6
1538539958,7,6
1538562022,12,12
1538583885,10,9
1538605938,8,7
1538628041,10,9
1538650104,10,11
1538671967,5,5
1538694113,10,7
1538716353,7,3332
1538738440,9,2129
1538760297,11,6
1538782352,3,3571
1538804590,12,1428
1538826529,25,96
1538848888,16,25
1538870927,18,43
1538893021,12,26
1538915089,20,25
1538937135,135,15
1538959232,9,10
1538981561,14,17
1539003704,20,15
1539025725,14,15
1539047788,15,21
1539069641,19,11
1539091607,11,7
1539113547,21,10
1539135392,40,6
1539157267,13,12
1539179354,22,10
1539201390,13,1366
1539223494,22,18
1539245546,20,15
1539267387,13,12
1539289238,15,10
1539311320,15,13
1539333165,22,16
1539355225,15,11
1539377079,15,10
1539399147,40,7
1539421005,8,11
1539442898,10,14
1539464922,11,22
1539487051,8,12
1539509054,9,11
1539530910,11,13
1539552991,83,12
1539575060,4,5
1539596907,803,13
1539618765,3,62
1539640888,26,13
1539662937,21,8
1539684992,30,8
1539707320,19,6
1539729644,19,19
1539751719,21,15
1539773568,11,8
1539795921,13,13
1539818199,12,15
1539840271,15,12
1539862367,18,9
1539884660,16,19
1539906786,21,18
1539928881,11,14
1539950930,27,10
1539972996,15,11
1539995065,26,18
1540017211,23,34
1540039220,12,5
1540061322,8,4
1540083204,12,6
1540105341,7,9
1540127393,10,8
1540149393,5,14
1540171468,17,79
1540193560,15,800
1540215412,11,8
1540237490,12,13
1540259536,8,15
1540281531,7,11
1540303464,7,16
1540325556,1343,98
1540347434,11,14
1540369723,16,12
1540391795,23,18
1540413657,27,8
1540435975,102,12
1540458087,9,16
1540480107,18,13
1540501974,11,14
1540524042,6,9
1540545887,7,14
1540567948,8,14
1540590053,14,13
1540612113,9,11
1540634190,5,13
1540656107,9,4
1540678144,7,7
1540700200,7,14
1540722285,10,108
1540744363,100,9
1540766443,7,13
1540788524,5,10
1540810366,7,12
1540832214,2,14
1540854100,7,13
1540876121,15,9
1540897970,14,8
1540920285,12,14
1540942609,9,5
1540964658,6,4
1540986532,5,13
1541008908,6760,1031
1541030934,6,10
1541053025,7,7
1541075082,5,12
1541097405,11,4
1541119261,11,9
1541141115,13,5
1541163059,5,14
1541184997,6,11
1541207081,10,7
1541229406,8,117
1541251485,14,5
1541273911,5,4
1541295883,3,10
1541318198,7,11
1541340084,7,7
1541362111,127,6
1541384207,20,2
1541406268,11,5
1541428362,7,7
1541450205,14,5
1541472046,13,3
1541494380,9,9
1541516497,9,4
1541538530,16,6
1541560828,9,6
1541582681,13,27
1541604744,1,6
1541626604,9,7086
1541648687,6,6
1541670751,4911,5
1541692596,871,8
1541714492,9,4
1541736777,1,7
1541758826,8,5
1541780674,7,9
1541802746,9,6
1541824832,4,2
1541846912,7,12
1541868762,5,4
1541891101,6,4
1541913156,9,3
1541935506,9,3
1541957821,9,3
1541979858,15,4
1542001715,6,7
1542023795,4,11
1542045871,5,3
1542067743,81,7
1542089836,13,8
1542111887,5,6
1542134001,4,8
1542156272,10,5
1542178358,2,4
1542200483,8,8
1542222504,1186,8
1542244592,6,7
1542266684,3,6
1542288526,8,5602
1542310865,23,4
1542332908,13,5
1542355288,6,4
1542377572,7,7
1542399874,4,28
1542421964,4,5
1542444024,2,5
1542466111,1857,5
1542487968,9,166
1542510103,8,9
1542532106,4,10
1542554189,35,9
1542576254,82,14
1542598117,8,7
1542620179,7,9
1542642094,8,7
1542664114,177,4
1542686199,3,83
1542708109,31,9
1542730190,20,2
1542752193,19,9
1542774283,14,6
1542796362,7,4
1542818426,12,5
1542840520,6,9
1542862369,7,5
1542884228,8,4
1542906263,9,1336
1542928115,8,13
1542950432,5,7
1542972749,12,4
1542994827,6,7
1543016689,7,3
1543038745,10,1
1543060922,4,3
1543082891,4,1859
1543104987,14,9
1543126832,10,6
1543149156,63,3
1543171240,16,110
1543193303,8,4
1543215176,5003,4
1543237304,5,6
1543259317,5,4
1543281256,9,3
1543303490,12,2
1543325565,9,8
1543347410,4,7
1543369472,6,9
1543391327,3,3
1543413189,24,12
1543435491,14,8
1543457550,5,5
1543479405,5,5
1543501480,6,6
1543523716,14,6
1543545645,12,5
1543567961,27,4
1543590308,16,7
1543612383,18,1
1543634679,6,5
1543656779,3,6
1543679068,19,3
1543701168,16,2
1543723311,6,5
1543745338,7,3
1543767404,11,8
1543789468,10,12
1543811310,5,5
1543833414,3,7
1543855458,7,3
1543877323,3,4
1543899764,8,6
1543921981,6,10
1543944287,1308,134
1543966389,12,3
1543988456,4681,3
1544010775,7,4734
1544033088,3,6
1544055390,11,3
1544077247,8,5
1544099343,8,54
1544121407,13,7
1544143476,16,3
1544165803,9,8
